CurrencyPair,PrimaryCurrencyQuantity,SecondaryCurrencyQuantity
AUD/JPY,12480880,-1048220432
AUD/NZD,32612277,-35105206
AUD/USD,-35185412,24774966
CHF/JPY,-656000,77186292
EUR/AUD,1276000,-1977360
EUR/CHF,1592000,-1770747
EUR/GBP,3715253,-2814353
EUR/JPY,18774979,-2454872440
EUR/NOK,-3000000,28600640
EUR/NZD,-55000,91960
EUR/PLN,-3999000,17635627
EUR/SEK,7750000,-72709920
EUR/USD,-27974847,30586657
GBP/AUD,312000,-638503
GBP/CHF,-875000,1285048
GBP/JPY,-619500,107244661
GBP/NZD,-57000,125787
GBP/SGD,-1000,2059
GBP/THB,-6,0
GBP/USD,1863500,-2678331
NZD/JPY,173000,-13623600
NZD/USD,39727756,-25944459
USD/CAD,-3385898,4759081
USD/CHF,-5000000,5095710
USD/CNH,-3944123,26399239
USD/HKD,-1000000,7859300
USD/JPY,-35669716,4335160211
USD/MXN,900000,-16676250
USD/RUB,0,0
USD/SEK,-1000,8582
USD/SGD,-2835000,4081635
USD/THB,0,60000
USD/TRY,-8501000,25141704
USD/ZAR,2000000,-32409600
XAG/USD,-1500,21456
XAU/USD,-905,1017179
